text,label,annotation_notes
Dude is now basically homeless after throwing too many stones from his glass house.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Ideally, no. I believe it should be about who’s exceeded pre-season expectations the most. And in that regard, I think Nuno is the standout. I don’t think people realize that Forest were 17th last season, 16th before, and in the Championship prior. If the last GW goes their way, he will have taken a team from near relegation to the Champions League in 1 season. That’s a meteoric rise. That said, I do think Slot’s achievement has been downplayed a little. He’s had no signings and had to fill Klopp’s shoes in a step up to arguably the toughest league. Him winning the league this season is significantly more impressive than if Arsenal or City had done it. Also, they could finish on 89 points - which yes, isn’t the high 90s of prime Pep v Klopp, but it’s still very respectable and certainly deserving of a title.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Americans try to ruin everything. I should know. I am one. 😂,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
You realised that just now? What was yor first clue?,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
They were the 3rd faves to win the title,hot_take,Bold opinion or claim asserted without checkable evidence.
No. Give it to Nuno. Howe and Glasner would be in the running **but** domestic cups do not come into play.,hot_take,Bold opinion or claim asserted without checkable evidence.
It proves nothing except that what you perceive to be a foul is probably not.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Yep and the most annoying thing as a Liverpool fan will be watching all the England fans finally talk about how good he is after vehemently denying it for years just because he was Liverpools home grown player. It's extremely disappointing when people get deluded by their hate. Your hate is actually making you miss reality and deny truth. Like, I'm not a big fan of Arsenal but I won't tell you that Odegaard is a shit player. I recognise he's talented and highly skilled but people never did that with Trent even though his passing is some of the best we have ever seen in the Prem.",hot_take,Bold opinion or claim asserted without checkable evidence.
"100% they did. They loved them pipping Liverpool to 4th place in 2003 and grabbing that last champions league spot. Then later when Mourinho came in, he gave them such good copy, they lapped it up. John Terry has a rap list longer than most but was still held up as a role model, even Dad of the year.",hot_take,Bold opinion or claim asserted without checkable evidence.
Ack! Ack! Ack!,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"That's what the OP is saying. You have a great disciplinary record despite having one of the more aggressive styles of play in the league, it's def a bit weird. Guimaraes can intentionally hit Jorginho in the head off the ball and the refs are fine with it. Jackson does it challenging for the ball and VAR won't stand for it. Odd.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Aged well,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
No and it isn't always given to league winning manager.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Most pundits had Liverpool third. I think most people would have either expected City’s domination to continue or for Arsenal to finally kick on. But both of them collapsed - from averaging 90 points each last year to 73 at best this year. I also agree it was hubris, this was a team that had performed to a very high level for five seasons and challenged last year for long periods. Allison, Salah and Van Dijk are the best in the world in their positions and there are another 3/4 on top of that who would have a shout for being best in the league (Trent, Robertson (albeit he’s been off), Diaz and Gravenberch).",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Yes nothing brings good PR like being associated with the Saudi regime,hot_take,Bold opinion or claim asserted without checkable evidence.
Exactly. I was watching some goal highlights from the 90s recently and there were more than a few where nowadays the defender would just go down and the goal would be disallowed. People saying Newcastle are thugs today should go and watch the likes of Bremner or Souness in the 70s & 80s.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
I never said winning team should always win the manager of the month. Not at all contradicting that argument. In fact I do consider Nuno to be equally deserving as Arne Slot. They both have defied expectations!,hot_take,Bold opinion or claim asserted without checkable evidence.
"""Did literally nothing except finish and he was only average at that.""... Tell that to the Spurs fans who watched his hattrick.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Yes, but just winning the league should not be the only qualification for winning manager of the season. Otherwise there is no actual point in having a competition for the award, or even an award at all. The winning manager should win it if: * The title win is especially impressive (Leicester) * They have a particularly impressive points tally or dominance of the league through points. * They have won a particularly brutal and tightly-fought contest for the title. Number 1 does not apply to Liverpool. Liverpool are expected to compete for the title every year. Number 2 does not apply. Even if you win the last two games, the points tally, including the goal difference, will be the second lowest of the last 9 years. Number 3 does not apply- you have had no serious rival. Only one other team has managed to get above 70 points, no one is getting anywhere near 80.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Purposefully being dense? Someone can be both high in a table of calls against them and not have received as many as they deserve. Not saying its true for Bruno but these aren't competing concepts...,hot_take,Bold opinion or claim asserted without checkable evidence.
Oh you’re one one *those* Arsenal fans,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Now do the ones that halved their points tally,hot_take,Bold opinion or claim asserted without checkable evidence.
Not true at all. Tindall got a yellow card the other week literally for doing nothing (which led to a ban),analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"They were third favourites, only just behind Arsenal… can we stop pretending people were expecting relegation. Show me anyone who expected Arsenal AND City to both get fewer than 75points. Liverpool have been the best team and deserve the title but they’ve benefitted from a huge drop off from their main rivals",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Is it not obvious... refs want the big money to do Saudi games...,hot_take,Bold opinion or claim asserted without checkable evidence.
"Its pretty obvious to me the oil clubs have the referees/media on payroll or whatever, but everyone wants to act like corruption is completely impossible in English sports. LOOL",hot_take,Bold opinion or claim asserted without checkable evidence.
Gotta be Nottingham imo. They performed way above expectations. Howe and slot are good shouts aswell but no one except those 3 should be in the conversation. Unless Im missing someone which i likely am.,hot_take,Bold opinion or claim asserted without checkable evidence.
"They’re no worse than any other team for that. Our disciplinary record is better than the majority of teams in the league. We have a great atmosphere at our home games, play decent high intensity football and our games are usually pretty entertaining.",hot_take,Bold opinion or claim asserted without checkable evidence.
"If Liverpool won just their ""2nd premier league"" than Real has 9 UCL wins and not 15",hot_take,Bold opinion or claim asserted without checkable evidence.
Legend has it that Anthony Gordon still hasn't stopped rolling.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Just a small correction, since a lot of people are seeing this wrong: The club is paying for the STAFF. They're not playing for the FAMILIES of staff members (I read they're giving 2 tickets or 3, but not more). That's what Ruben Amorim decided to pay for, because he said the staff would be happier and have a better performance in the final. Paying for the staff is an obligation of the club. Paying for the families is not, but still a nice gesture and doesn't change what you said about mismanagement.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"First things first, we do not need to care about who gets in the CL. Thats for you to fight and figure out. Secondly, chilling out the last month of PL gives us extra rest and keeps the players fresh. No one cares how many points you scored. All that matters is winning the league, and thats the Arne Slot way!",hot_take,Bold opinion or claim asserted without checkable evidence.
Thanks for that salty insight.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Just because pundits (and a lot of fans) were wrong doesn’t mean Slot is some kind of miracle worker. I really don’t understand why he’s being lauded quite so much. For me the test is punching above weight. If I’d said at the start Liverpool would win the league there’d be raised eyebrows. However if I knew that City and Arsenal would both fail to get to 75 points, I’d put your house on Liverpool winning with Klopp or Slot. If I recall they were around 7/1 to win the league at the start of the year. At best they’ll finish on 89 points which would have put them third behind Arsenal last season. Forest being in the top 5 is far more of a shock and I’d bet the bookies odds would be at least 50/1 for that at the start of the year. Newcastle being third and winning a trophy is also impressive.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Depends on the context. If City had won the league again then no, pep wouldn’t be manager of the season for achieving something he was favourite to achieve. I’d suggest that objectively, if Newcastle achieve top 4, added to their league cup win that Howe should be manager of the season. But I couldn’t argue against it being Slot seeing as he won the league in his first season without any major signings and with the backdrop of replacing Klopp and the 3 contract situation drama.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"There's quite a significant difference between history and actively doing things, we're far far from spotless even now but lets not pretend the UK and Saudi are in anywhere the same ballpark when it comes to human rights abuses, oppression and currently conflict. Showing up in headdresses dressed as the new owners is glorifying them, those same people who are actively at the heart of the above. It's not dramatic it's having some fucking sense of moral understanding of whats more important than a football club.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Lol okay mate, well it's comments like this that answer your original question for you. All the best",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"No, because it’s clear that Eddie Howe and Nuno have done an incredible job with what they’ve had to work with. Eddie in particular, they’ve had injuries and a lack of transfers recently but they seem a united team. This is coming from a spurs fan.",hot_take,Bold opinion or claim asserted without checkable evidence.
I'm talking about the modern era. He's won a PL with Leicester before you have. 🤣🤣🤣,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
No evidence? How much more evidence do you need of the Saudi government’s motivations?,hot_take,Bold opinion or claim asserted without checkable evidence.
And water is wet,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
More control/restraint in general. The Gravenberch move was a master stroke which solidified the team both offensively and defensively. Played to MO’s strengths a touch more. Kept the back door shut more effectively with the extra control.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"He had fewer chances created/min than matic, pogba and Sancho who all had ""poor"" season and fewer assists than Fred. And his hold up play was horrendous. Idk maybe Ur CR7 fanboy but the stats don't remotely back up what you're saying. And a striker who does absolutely nothing except score needs to be over performing their xg and getting minimum 30 goals to be worth having for a top side. He probably would have done quite well at city because they made like a million chances per match but we were a counter attacking team and as soon as he joined we weren't able to do that anymore.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Yes, they do. The problem with XG is that it is a very dodgy stat. For instance, I have just looked at three different websites and each one has different XG for each player",hot_take,Edge case A: gives a reason ('different sites') but no checkable evidence -> hot_take.
"He got 18 goals from an xg of 17.5 which is average except he also did 0 pressing or defensive work, 0 playmaking, 0 hold up play and he was so slow that we had to completely shift our focus away from counter attacking football. He did literally nothing except score and he was only average at that.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
“Most strikers outperform their XG” err.. no they don’t. Some will because it’s the elite level of the game also Wood is over 7 goals up on his XG. And yes it means you’ve been scoring hard chances. I didn’t say Wood had been lucky I said Nuno was to have a striker in that form.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I think you need to look at the CG charts. Most strikers outperform their XG. Cole Palmer is an exception who underperforms it. Mo Salah has outperformed his XG by about the same amount as Wood, so has Isak, Mbuemo even more. Outperforming XG doesn't mean you've been lucky, it means you've scored hard chances",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Forest are were they are more than anything because Chris Wood was scoring virtually every shot he took for a few months. He outperformed his XG regularly and was so clinical. Nuno has done a good job but he got lucky with having Chris Wood at that time so I don’t think he can be manager of the season.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Arsenal fans talk like philosophers in May—full of theories, no results. They flex XG stats while dusting empty cabinets. Imagine going trophyless yet acting superior, while ""banter-era"" United still win more in chaos than Arsenal do at their “peak.” Second place? . Netflix season -6 🤣🤣",hot_take,Bold opinion or claim asserted without checkable evidence.
"ETH should be lynched if he would have continued and we would be in 16th… he spent 600+ million pounds on his own players and still could not get the best out of them.. not even the average okay-est out of them. In a system he wanted to play and spent all that to get nowhere. I don’t care what other guys used to say, Eth out or in, just support the one in charge. Amorim has stuck to his gut, the results haven’t been good but the stats back him up a little bit. The xG has doubled/tripled since Eth. Maybe it’s naive but I believe the results will improve after the transfer window..at least it surely can’t get worse",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
">For example as I commented in another post, Arsenal having the higher xG overperformance than Liverpool is surprising because it's clearly not true Based on what? >so immediately you can tell that simply adding up xG and goals is misleading and doesn't tell you much. Wait, you just said it wasn't true. Now you are suggesting it is true but that it doesn't tell you much because it didn't conform to your opinion.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Most data showed that they were outperforming their xg numbers for a while now,so it looks like that finally caught up with them with the squad they had",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Leicester have been truly awful this season, failed to score in 16 out of 36 games, have the 2nd lowest xG and at the age of 38 Vardy has 8 goals and 4 assists. There's 5-10 PL who would take a punt on him",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I was looking through the top la liga goal scorer the other day, as you do. But the fact that both raphinha and yamal either have the same amount of goals as ayoze perez or less in yamal’s case really bugs me. The fact ayoze perez is out performing his xg as well when the other two arent.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Exactly - Leicester have been truly awful, have failed to score in the majority of games since RVN took over and have really low xG. Vardy, at 38 and feeding on scraps is still on 9 goals. For a 1 year deal and on a free there’s a ton of PL that’d take him as bit part player.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
">But Arsenal could be (we were) overperforming a lot on one day and underperforming a lot on another. In data like this just adding up the goals and xG can hide such variation so probably a better metric would be to look at alongside standard deviation. I appreciate your feedback. I agree that it can distort the actual performance of a team because on some games you can exceed your xG to a point where if you underperformed on your xG, it overlooks your less clinical performances. I will find data in games where Arsenal performed below their xG and how it dented their hopes of winning the title, especially in the 2022/23 season",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
">Also, these numbers don't tell you much. If you average this over the number of games it comes to over performing our xG by an average 0.27 per game. Please elaborate on this. I am sure it tells you over the course of a season.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Thank you. I forgot about that. But it would be something worth looking into, the amount of big chances missed by each side, which might tell a greater story outside the scope of xG.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Not a big fan of XG in football however this is well done given how it covers the whole season ( instead of the daft per game ""statistics""). I had this feeling ( and I told a mate of mine) that Bournemouth were a bit unlucky in their results ( too many draws), and looking at your table its easy to see by numbers as well how what separates them from Forest is basically nothing. No comment on my club, nice article though. I would like to see a numerical representation of how much Hojlund and Onana have cost us this season on their own. Missing clear cut chances conceding overly easy goals. because I am more than convinced it at from 15 to 20 points just from these two clowns.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"The average player typically scores 75% of penalties taken, based on xg. Who’s better? I know balotelli is insane, Ronaldo is at 84-85%. Kane is at 88%, Who’s also well known?",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"What many don't realize is last season was just as bad, we were just bailed out with late goals. This year we haven't been, we have done the opposite. The xG table had United around 16th last year, and this year we are up to 12th. Shows how bad the squad is, and that regardless of manager, a full overhaul is needed.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Obviously their league positions are absolutely shameful no matter the context, but the strength of the middle-lower middle table teams is a significant factor playing into it. Man United were something like 15th in the xg table last season, indicating that their underlying performances were bad but they pulled out a bunch of games they should’ve drawn/lost due to opponents being toothless. It’s much harder to get away with bad performances against the teams around 8-17 now. The two other lowest teams outside the relegation zone have players like Cunha, Bowen, Kudus and are good enough to punish big teams when they don’t play well",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"You're framing it as people are just buying them for their goals this season which isn't the case. Football teams analysts aren't just looking at this seasons xG and going ""wow, lets buy him now"" And one of the players you mentioned has performed above his xG in 2.5 seasons which I've mentioned.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"You very much missed the point of why I was referencing the xG and their goals. The point wasn’t that lower league teams should be creating as much as they are scoring, it’s that they’re substantially outperforming their xG, which is unusual for them. Now, this could just be a new level they’ve reached and they’ll consistently be able to score at this rate if they receive adequate chances, but typically that’s not true. There are many instances where players will have great seasons and then fail to replicate that same form even after transfers to bigger teams. That was the entire point?",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"You can't really look at it that way, you're just not going to find a lower to mid table team with many players with xG of 20+ as the teams just don't create that many chances. Cunha has 2.5 seasons over performing his xG in the prem, the player he's likely to replace say somebody like Garnacho this season has scored 6 from 9.18 and has historically underperfomed in every season at adult football Salah for example is on 28 goals with an xG of 25 but has actually underperformed his xG in the 3 seasons prior to this one. It just finding somebody that can be in and around the xG the team provides and the ability to create their own chances. Plus players like Mbeumo and Cunha bring other things than just goals, such as high assists (or xA), dribbling ability, able to break the lines via carrying the ball or passing.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Brentford has been using long throws for awhile now, and are by far the most successful club at it. Not only do they have the most long throw ins amongst EPL teams (92 long box throws), they also generate 3.9 xG through long throws, with Crystal Palace in 2nd with 1.1 xG.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"""But but we are the xG champions bro. We won the *we beat Real Madrid trophy* bro""",hot_take,Bold opinion or claim asserted without checkable evidence.
"Honestly so much of artetas issues with this tena would be fixes with a solid striker which we haven't had since aubameyang. All those crosses and through balls need someone with the positioning and ruthless effectiveness at the end of them. We have had too many matches with high xg with constant misses, same issue last year.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Yeah United were awful before the red card as well, but after that it was really no way to turn it around. Especially not with how Ten Hag seemed to be too stubborn to change things. I forgot Forsters mistakes, but sleepwalking it? THAT is a wild take lmao. They were lucky to be up 3-0. Fotmob stats shows United had more possession (54-46), higher xG (2.56-0.67), more shots (20-9), 1 less on target (5-6), more big chances (4-2).. Spurs could've had 0 goals all game and it would've been deserved. I've also seen GKs getting freekicks for less than what Bayindir should've gotten for when his arm was held down on Sons goal. United winning that game would've been deserved. Regardless, in terms of United EL performances, that's enough to beat Spurs if our attackers manage to be more clinical. And it looks like the bookies hold United as favorites despite the previous results between the teams.",analysis,"Cites full stat line (possession, xG, shots, big chances) -> analysis."
"Original comment was painting this picture that Arsenal are creating a lot of chances but the lack of a proper 9 to finish them is the issue. I’m pointing out that it’s really true, 7th or so in the league for xG isn’t all that great as far as chances created.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
We’ve probably got leas xG than Spurs so what does that mean?,hot_take,Bold opinion or claim asserted without checkable evidence.
"They don't need a new striker, that's just them running from accountability. Their brand of football at the moment doesn't really create enough. They're over performing their xG as much as pretty much all top teams, but their chance creation is lacklustre.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"PSG played better. 5 xG? Who cares, xG over a single game matters buying without other stats to accompany it. xG in isolation is so flawed. So Donnarumma saves and it's all on him but players fluffing their shots and penalties isn't on them? Ok buddy.",hot_take,Bold opinion or claim asserted without checkable evidence.
Pretty sure they’re not even top 5 for xG created in the league They’re a strong team and well coached but they have no killers in that team at all,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
The issue is simple. Theres too much money in PL to play anything but the meta. Best way to not concede? Keep the ball. Best way to keep the ball? Take less risks. Best way to score a goal? Create a high xG chance.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Like I said I’m not saying no one scores them. It’s just with the introduction of xg coaches and managers aren’t allowing players to waste opportunities like that anymore.,hot_take,Bold opinion or claim asserted without checkable evidence.
Exactly an xg is a massive part of that. You think a manager would prioritise tactics that result in a low xg (taking shots from outside the box). No they wouldn’t and would deeply discourage players from doing it just because of statistics. Nowadays you won’t ever get Gerard’s goal in the fa cup final because of this.,hot_take,Bold opinion or claim asserted without checkable evidence.
and how do you think they decide those tactics? by seeing what shots have higher xG.,hot_take,Bold opinion or claim asserted without checkable evidence.
That’s a weird take. The change is nothing to do with XG and far more to do with the managers obsessing over tactics and systems.,hot_take,Bold opinion or claim asserted without checkable evidence.
Does have a point though. The whole introduction of xg has changed the game. Players aren’t going for wonder goals. Not saying they aren’t being scored but it’s a hell of a lot less.,hot_take,Bold opinion or claim asserted without checkable evidence.
Id reads like we ended up like 10th in the league. Dude we won the league by a mile with the highest XG meaning we're creating loads of chances. Honestly this feels like a troll post.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Probably 70% aimed at the PL, remaining 30% at other top level football. Its undeniable that the current 'vogue' in football is keeping the ball between the back, forcing the other team back. This is pretty boring, not only because it stops direct attacking with space and flair, but also because so many teams do it we don't see variety. Neville did some analysis comparing the top PL passers in the 5 years before he retired to the last 5 years. It used to be Scholes, Lampard, Alonso etc, it's now Dunk, Van Dijk, Gvardiol etc. In addition, I'd love to see some analysis on the number of long shots or amount of take ons in the league. I think with the xg maths involved it just encourages a risk free approach to football that takes away the special moments. This is largely the PL that does this, but also some other top teams across Europe. However, I certainly feel that 10 years ago PL football was more entertaining than we saw in Europe, thats now the other way around (in my opinion).",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
XG has to be one of the worst stats developed to fuel the chronically online,hot_take,Bold opinion or claim asserted without checkable evidence.
"I'm going to die on the ""Actually, he should've won the Ballon d'Or last year"" hill. And it's crazy how close he was to winning multiple trophies last year: \* Bayern far outpaced Leverkusen in xGD (+53 vs +43.7) but Leverkusen ran hot on both shooting (89 goals scored on 73.6 xG) and shot stopping (24 goals allowed on 29.9 xGA), while Bayern ran cold on shot stopping (45 GA on 32,1 xGA). \* Bayern were headed to the Champions League Final as of minute 88 of the semifinal second leg - had the 0-1 scoreline held, they would've faced Dortmund in the final. \* Made the Euro 2024 Final, lost 2-1 to Spain Getting dumped out of DFB-Pokal early was obviously a downer, but even then, they dominated the play and they were ahead 1.88 to 0.68 in xG. So yeah, happy for the guy. He's arguably the best ever English attacking player, definitely the best 21st-century English forward.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Arsenal had an xg 0,5 higher than PSG. Thats hardly ""almost the same"". Arsenal also missed clear chances, so not sure what your point is. And two of those big PSG chances would probably have been rules out for offside, so their xg would have been even lower if the linesman called it on the field. The penalty isnt clear cut at all. Its not illegal to wrap your arm around an opponent. It only become illegal if you actually prevent your opponent from playing by doing it. I am not convinced that arm actually prevented Kvaratskhelia from playing. The way his legs just stops working at the same time Timber pulls his arm away is likely what made the refs think there wasnt enough force there to constitute a foul. All in all, Arsenal created enough to score, but werent clinical enough. A PSG win and a draw were both deserved outcomes of that match. I fullt expect PSG to take it at home, though",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"He’s just another keeper who performs well (conceded negative xG) in a weak team. To rate how good he really is, you’ve got to put him in a better team and also look at his other attributes. IMO, he is an average keeper.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"1. PSG was 5-1 up and put their foot of the gas, conceding 2 deflected goals. 2. PSG and Arsenal have almost the same xg. PSG missed 2 clear chances and deserved a Pen. PSG was the deserved winner of that game. Also define what job mean by lucky. They deserved to win against every Premier opponent and idk how you could argue otherwise. If were talking hypotheticals PSG should’ve put 5 past Liverpool",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Their best chances were also offside btw which contributed to their xG. They didn’t really anything clear cut that was actually onside.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
Take away Martinelli’s 0.83xg chance that looked like it was offside anyway and they would’ve had better xG PSG were clearly the better side I dunno how anyone that watched that could say otherwise,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
They conceded 3 1 v1s lol and had less xg. They were good for 30 mins but did nothing after that until the 80th minute,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Created more big chances than PSG, had more shots on target, created more Xg. We weren't amazing but people are acting like we wrote taking apart like Liverpool were.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I think Forest is the most likely to have a Newcastle 23/24 season. They are already overperforming their xG for and against by a massive margin, which isn't the be-all end-all, but it does suggest that they won't be as great in the long run. I hope I'm wrong, because they embody everything that makes the Premier League great.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
You clearly did not watch the match and just saw the highlights on your break. Their xg was 5.33 excluding penalties. Outclassed in both the wide and central areas. Just lucky that Alisson had a monstrous game,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I don’t think we do. We had the lowest xG in the league, we were getting progressively worse and all our best players got injured after he left and he played our easiest fixtures. We were also unable to spend any money due to our board mismanaging our finances so badly for years. If you look at our results under Cooper we only drew with Ipswich and beat Southampton after they went down to ten men. We scraped a 1-0 win against Bournemouth because they couldn’t finish despite playing us off the pitch.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I'm almost inclined to say Nuno. Simply because of how shit Forest actually are. They are fucking terricle to watch. They are bottom 7 on xG and their performances show they should be 14th on xPTS. Yet here they are. A cup semi final and competing for Champions League football. It's not even a Leicester style story. Leicester had one of the best attacks in the league that season and performances meant they should have finished top 4 at the bare minimum. Slot really has done a great job. But that Liverpool team has the best goalkeeper in the league, the best centre back and the best attacker. And at this very same stage last season, were still in a title race (3 points off top).",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
